n,score
2278,36084
2279,7192
2280,16080
2281,34340
2282,14612
2283,39808
2284,14808
2285,33012
2286,27124
2287,27512
2288,55660
2289,3328
2290,27120
2291,32768
2292,30120
2293,14244
2294,38376
2295,34480
2296,5928
2297,35612
2298,16044
2299,32276
2300,32320
2301,58120
2302,34796
2303,35392
2304,34452
2305,35408
2306,36076
2307,35496
2308,30756
2309,16032
2310,51408
2311,35564
2312,49252
2313,49068
2314,36024
2315,26968
2316,27092
2317,59396
2318,32892
2319,32340
2320,35352
2321,35800
2322,7092
2323,51896
2324,25696
2325,17076
2326,38388
2327,34684
2328,49688
2329,15724
2330,36176
2331,16784
2332,35924
2333,15796
2334,33720
2335,27156
2336,35268
2337,25220
2338,30780
2339,15244
2340,35868
2341,14328
2342,31392
2343,32236
2344,23448
2345,34056
2346,35412
2347,31912
2348,32188
2349,21008
2350,7936
2351,32676
2352,40016
2353,27100
2354,32212
2355,35420
2356,36172
2357,52416
2358,21560
2359,35704
2360,33200
2361,23008
2362,24912
2363,30968
2364,34240
2365,15300
2366,31720
2367,21572
2368,26544
2369,26448
2370,25456
2371,25692
2372,35768
2373,35736
2374,31092
2375,25200
2376,27220
2377,30360
2378,31708
2379,33604
2380,32044
2381,51712
2382,3936
2383,35476
2384,35508
2385,3012
2386,27068
2387,36072
2388,27244
2389,36124
2390,60984
2391,14744
2392,34732
2393,29744
2394,33804
2395,30120
2396,40564
2397,26504
2398,35356
2399,10372
2400,15460
2401,59520
2402,35608
2403,33484
2404,31448
2405,36284
2406,53456
2407,27156
2408,34508
2409,25748
2410,36120
2411,33912
2412,21048
2413,12188
2414,31760
2415,12212
2416,35932
2417,22712
2418,12216
2419,36124
2420,34296
2421,34664
2422,26752
2423,32612
2424,35592
2425,35712
2426,29608
2427,30608
2428,32056
2429,34420
2430,34600
2431,32260
2432,32588
2433,18256
2434,32588
2435,15256
2436,46320
2437,31368
2438,36040
2439,12108
2440,35380
2441,39872
2442,16208
2443,33196
2444,36196
2445,60404
2446,35020
2447,26392
2448,36564
2449,36124
2450,30376
2451,30600
2452,39988
2453,12156
2454,36068
2455,24108
2456,31496
2457,16224
2458,14428
2459,15504
2460,28188
2461,36132
2462,31176
2463,68784
2464,26836
2465,36212
2466,39532
2467,57100
2468,31848
2469,22016
2470,11312
2471,49760
2472,10420
2473,32120
2474,12104
2475,35672
2476,35720
2477,35332
2478,49212
2479,8004
2480,35968
2481,34304
2482,31572
2483,31376
2484,26540
2485,34888
2486,34548
2487,7084
2488,33828
2489,34768
2490,33880
2491,35172
2492,35972
2493,3312
2494,23792
2495,41876
